"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
179;"Campodarsego";03/02/1992;;"AGRO";16;"CAMPODARSEGO (PD)";"PD";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1727659;5042149;45.49551578;11.91336346;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
180;"Este - Calaone";07/12/1991;07/03/2017;"AGRO";104;"ESTE (PD)";"PD";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1708384;5013285;45.24201135;11.65477423;"BRENTA: VENETO";"BRENTA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
182;"Tribano";01/01/1996;;"AGRO";3;"TRIBANO (PD)";"PD";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, LIDRO, LIDRO, PREC, RADSOL, TARIA10M, TARIA2M, TARIAMAX10M, TARIAMAX2M, TARIAMIN10M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VISIB, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1723829;5007659;45.18668992;11.8487995;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
183;"Volpago del Montello";01/02/1992;;"AGRO";122;"VOLPAGO DEL MONTELLO (TV)";"TV";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1742010;5074899;45.78502414;12.11304779;"SILE";"SILE";"Vene-H Piave pedemontano";
184;"Zero Branco";01/02/1992;;"AGRO";12;"ZERO BRANCO (TV)";"TV";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1747670;5053495;45.59066694;12.1748348;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
185;"Vazzola - Tezze";01/02/1992;;"AGRO";40;"VAZZOLA (TV)";"TV";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1759674.711;5078580.111;45.81168647;12.34189762;"LIVENZA: VENETO";"LIVENZA - Monticano";"Vene-G Livenza, Lemene e Tagliamento";
186;"Gaiarine";01/02/1992;;"AGRO";17;"GAIARINE (TV)";"TV";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1771060;5088027;45.89217558;12.49348723;"LIVENZA: VENETO";"LIVENZA - Monticano";"Vene-G Livenza, Lemene e Tagliamento";
187;"Roncade";01/02/1992;;"AGRO";7;"RONCADE (TV)";"TV";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1764673;5059839;45.64140487;12.39588815;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
188;"Villorba";01/02/1992;;"AGRO";41;"VILLORBA (TV)";"TV";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1751649;5071267;45.74894328;12.23496228;"SILE";"SILE";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
189;"Valdobbiadene - Bigolino";01/02/1992;;"AGRO";225;"VALDOBBIADENE (TV)";"TV";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1733368;5085364;45.88205751;12.0070972;"PIAVE: VENETO";"PIAVE: PEDEROBBA";"Vene-H Piave pedemontano";
190;"Brustole' (Velo d'Astico)";13/08/1991;;"METEO";331;"VELO D'ASTICO (VI)";"VI";"ET0, PIOGCONT, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1682124.122;5074666.18;45.80132477;11.34330714;"BRENTA: VENETO";"BRENTA - Posina";"Vene-B Alto Brenta-Bacchiglione-Alpone";
191;"Molini (Laghi)";01/08/1991;;"METEO";623;"LAGHI (VI)";"VI";"DVENTO5M, DVENTO5M, ET0, HUMIDEX2M, PIOGCONT, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1675242;5078025;45.83331375;11.25603835;"BRENTA: VENETO";"BRENTA - Posina";"Vene-B Alto Brenta-Bacchiglione-Alpone";
192;"Passo Xomo (Posina)";01/08/1991;;"METEO";1051;"POSINA (VI)";"VI";"DRAFF5M, DVENTO5M, DVENTO5M, ET0, PIOGCONT, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1673988;5071814;45.77777304;11.2376662;"BRENTA: VENETO";"BRENTA - Posina";"Vene-B Alto Brenta-Bacchiglione-Alpone";
193;"Riofreddo a Valoje (Arsiero)";01/08/1991;29/08/2017;"IDRO";395;"ARSIERO (VI)";"VI";"LIDRO, LIDROMAX, LIDROMIN, PORT";1681437;5075437;45.80843762;11.33476226;"BRENTA: VENETO";"BRENTA - Posina";"Vene-B Alto Brenta-Bacchiglione-Alpone";
194;"Posina a Bazzoni (Posina)";01/08/1991;;"IDRO";455;"POSINA (VI)";"VI";"LIDRO, LIDROMAX, LIDROMIN, PORT";1678208;5074606;45.80180593;11.292933;"BRENTA: VENETO";"BRENTA - Posina";"Vene-B Alto Brenta-Bacchiglione-Alpone";
195;"Farra di Soligo";01/02/1992;;"AGRO";169;"FARRA DI SOLIGO (TV)";"TV";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1740836;5087883;45.9021246;12.10445916;"PIAVE: VENETO";"PIAVE: PEDEROBBA";"Vene-H Piave pedemontano";
196;"Oderzo";01/02/1992;;"AGRO";7;"ODERZO (TV)";"TV";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1774069;5074080;45.76569434;12.52427035;"PIANURA TRA LIVENZA E PIAVE";"PIAVE";"Vene-G Livenza, Lemene e Tagliamento";
197;"Maser";01/04/1992;;"AGRO";100;"MASER (TV)";"TV";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1728768;5073718;45.77892133;11.94236996;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-H Piave pedemontano";
198;"Breda di Piave";01/01/1992;06/10/2016;"AGRO";22;"BREDA DI PIAVE (TV)";"TV";"BFOGL, DVENTO2M, DVENTO2M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1759797;5068144;45.71787033;12.33786544;"SILE";"SILE";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
199;"Longarone";01/11/1991;;"METEO";435;"LONGARONE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1754615;5128434;46.26152058;12.30351169;"PIAVE: VENETO";"PIAVE";"Vene-A Alto Piave";
200;"Lamon - Sala";01/11/1991;;"METEO";650;"LAMON (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1712502;5103278;46.04985912;11.74647606;"BRENTA: VENETO";"BRENTA: CISMON";"Vene-B Alto Brenta-Bacchiglione-Alpone";
201;"Monte Grande (Teolo)";16/01/1995;;"METEO";465;"TEOLO (PD)";"PD";"ET0, TARIA2M, TARIAMAX2M, TARIAMIN2M";1709358;5026653;45.36192058;11.67281842;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
203;"Passo Valles";01/11/1991;;"METEO";2042;"FALCADE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, FREQGEONOR, HUMIDEX2M, INDSEREN, PREC, PRECGEONOR, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1715631;5135568;46.33914263;11.80160227;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
204;"Ponte di Piave";14/03/1995;;"AGRO";3;"PONTE DI PIAVE (TV)";"TV";"BFOGL, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1774281;5068682;45.71711766;12.5239352;"PIAVE: VENETO";"PIAVE";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
205;"Mae' a Forno di Zoldo";01/04/2000;01/10/2011;"IDRO";835;"VAL DI ZOLDO (BL)";"BL";"LIDRO, LIDROMAX, LIDROMIN";1744378;5137371;46.3455866;12.17553497;"PIAVE: VENETO";"PIAVE - Maé";"Vene-A Alto Piave";
206;"Ca' Oddo (Monselice)";01/01/1996;03/02/2011;"AGRO";4;"MONSELICE (PD)";"PD";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA10M, TARIA2M, TARIAMAX10M, TARIAMAX2M, TARIAMIN10M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1715662;5008292;45.1949266;11.74523723;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
207;"Cordevole a S. Maria d. Grazie";03/06/1992;11/12/2000;"IDRO";972;"ROCCA PIETORE (BL)";"BL";"LIDRO, LIDRO, PORT";1731316;5145129;46.41989442;12.00986355;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
208;"Alpone a Monteforte";02/05/1992;21/04/2005;"IDRO";33;"MONTEFORTE D'ALPONE (VR)";"VR";"LIDRO, LIDROMAX, LIDROMIN";1678852;5031514;45.41409306;11.28541022;"ADIGE: VENETO";"ADIGE";"Vene-B Alto Brenta-Bacchiglione-Alpone";
210;"Ansiei a Tarlisse";04/06/1992;23/11/2005;"IDRO";785;"AURONZO DI CADORE (BL)";"BL";"LIDRO, LIDROMAX, LIDROMIN";1765870;5159283;46.53432866;12.46682352;"PIAVE: VENETO";"PIAVE: ANSIEI";"Vene-A Alto Piave";
211;"Codevigo - Ca' di Mezzo";20/06/1996;;"AGRO";1;"CODEVIGO (PD)";"PD";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1746929;5012991;45.22690363;12.14506095;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
213;"Rovina alta di Cancia";09/07/1998;01/11/2003;"METEO";2251;"BORCA DI CADORE (BL)";"BL";"PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1749715;5149087;46.44890888;12.25103608;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
214;"Boite a Podestagno";01/06/1992;;"IDRO";1323;"CORTINA D'AMPEZZO (BL)";"BL";"LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN, PORT";1738140;5164937;46.59551958;12.10868036;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
215;"Cortina (paese)";22/05/1992;02/04/2012;"IDRMET";1180;"CORTINA D'AMPEZZO (BL)";"BL";"LIDRO, TARIA2M, TARIAMAX2M, TARIAMIN2M";1740617;5158178;46.53390277;12.13746115;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
216;"Cansiglio - Tramedere";01/10/1992;;"METEO";1022;"TAMBRE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1764069;5108350;46.07747932;12.41476528;"LIVENZA: VENETO";"LIVENZA: ZONA MONTANA";"Vene-H Piave pedemontano";
217;"Feltre";13/06/1996;;"METEO";264;"FELTRE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1724099;5099945;46.01620135;11.89462516;"PIAVE: VENETO";"PIAVE - Sonna";"Vene-H Piave pedemontano";
218;"Asiago - aeroporto";01/07/1996;;"METEO";1016;"ASIAGO (VI)";"VI";"DRAFF10M, DVENTO10M, DVENTO10M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PIOGCONT, PREC, PRESS, RADSOL, RADSOLRIF, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVMEDARIT10M";1694869;5084184;45.88342502;11.51100804;"BRENTA: VENETO";"BRENTA - Bacchiglione - Astico";"Vene-B Alto Brenta-Bacchiglione-Alpone";
219;"Rovina di Cancia (Borca di Cadore Q1335)";24/08/1996;;"METEO";1335;"BORCA DI CADORE (BL)";"BL";"ET0, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1749124;5147757;46.43717725;12.24264349;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
220;"Treviso";01/03/2002;;"METEO";19;"TREVISO (TV)";"TV";"DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1750910;5063669;45.68093386;12.22154715;"SILE";"SILE";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
221;"Trecenta";26/05/1993;;"AGRO";9;"TRECENTA (RO)";"RO";"BFOGL, DVENTO2M, DVENTO2M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VRAFFICA5M, VSFIL2M, VSFIL5M, VVENTO2M, VVENTO5M, VVMEDARIT2M, VVMEDARIT5M";1691214;4988242;45.02166616;11.42663109;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
222;"Papozze";21/12/1993;01/11/2001;"AGRO";1;"PAPOZZE (RO)";"RO";"DVENTO2M, DVENTO2M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1739569;4986497;44.99129447;12.03876671;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
223;"Falcade";25/09/1996;;"METEO";1150;"FALCADE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, FREQGEONOR, HUMIDEX2M, INDSEREN, PREC, PRECGEONOR, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1720787;5137567;46.35544921;11.86945693;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
224;"Valle di Cadore";20/12/1996;;"METEO";794;"VALLE DI CADORE (BL)";"BL";"DVENTO5M, DVENTO5M, ET0, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1756116;5145629;46.41544389;12.3323414;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
225;"Vicenza (Citta')";01/04/1997;13/05/2009;"METEO";45;"VICENZA (VI)";"VI";"DVENTO2M, DVENTO2M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA2M, VSFIL2M, VVENTO2M, VVMEDARIT2M";1697419;5047824;45.55576112;11.52903719;"BRENTA: VENETO";"BRENTA - Bacchiglione - Timonchio";"Vene-B Alto Brenta-Bacchiglione-Alpone";
227;"Mogliano Veneto";01/09/1997;;"AGRO";5;"MOGLIANO VENETO (TV)";"TV";"DVENTO10M, DVENTO10M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, VISIB, VRAFFICA10M, VSFIL10M, VVENTO10M, VVMEDARIT10M";1758086;5052812;45.5807425;12.30779083;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
230;"Campagna Lupia - Valle Averto";17/10/1997;;"AGRO";0;"CAMPAGNA LUPIA (VE)";"VE";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIA50CM, TARIAMAX2M, TARIAMAX50CM, TARIAMIN2M, TARIAMIN50CM, TSUOLO, TSUOLO-10, TSUOLO-20, TSUOLO-30, UMID2M, UMID50CM, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1746123;5026591;45.34941987;12.14155693;"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"BACINO SCOLANTE IN LAGUNA DI VENEZIA";"Vene-F Basso Piave, Sile e Bacino scolante in laguna";
231;"Sant'Apollinare (Rovigo)";01/01/1998;;"AGRO";2;"ROVIGO (RO)";"RO";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VISIB, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1722631;4990567;45.03340149;11.8259685;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
232;"Bassano del Grappa";07/03/2000;;"METEO";127;"BASSANO DEL GRAPPA (VI)";"VI";"BFOGL, DVENTO10M, DVENTO10M, DVENTO2M, DVENTO2M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA10M, VRAFFICA2M, VSFIL10M, VSFIL2M, VVENTO10M, VVENTO2M, VVMEDARIT10M, VVMEDARIT2M";1712249;5073813;45.78504906;11.73017735;"BRENTA: VENETO";"BRENTA";"Vene-B Alto Brenta-Bacchiglione-Alpone";
234;"Padova";01/05/2000;;"METEO";12;"PADOVA (PD)";"PD";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, EVAPO, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1727642.038;5032075.048;45.40496348;11.90848323;"BRENTA: VENETO";"BRENTA - Bacchiglione";"Vene-E Basso Brenta-Bacchiglione e Fratta Gorzone";
235;"Soffranco";01/05/1992;;"METEO";606;"LONGARONE (BL)";"BL";"ET0, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1749859;5130094;46.278202;12.24278045;"PIAVE: VENETO";"PIAVE - Maé";"Vene-A Alto Piave";
236;"San Martino d'Alpago";12/05/1992;;"METEO";828;"CHIES D'ALPAGO (BL)";"BL";"ET0, PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1762192;5119729;46.18043287;12.39682227;"PIAVE: VENETO";"PIAVE - Alpago";"Vene-H Piave pedemontano";
237;"Cortina d'Ampezzo - Gilardon";01/06/1992;;"METEO";1271;"CORTINA D'AMPEZZO (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, RADSOLRIF, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1739833;5158457;46.53668964;12.12739699;"PIAVE: VENETO";"PIAVE - Boite";"Vene-A Alto Piave";
238;"Misurina";01/06/1992;;"METEO";1743;"AURONZO DI CADORE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1749057;5163251;46.5764122;12.25007045;"PIAVE: VENETO";"PIAVE: ANSIEI";"Vene-A Alto Piave";
239;"Col di Pra'";17/02/1984;;"METEO";863;"TAIBON AGORDINO (BL)";"BL";"ET0, PIOGCONT, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M";1725606;5131117;46.29588807;11.92891208;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
240;"Vittorio Veneto";22/02/2000;;"METEO";123;"VITTORIO VENETO (TV)";"TV";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1756209;5097768;45.98539025;12.30760378;"LIVENZA: VENETO";"LIVENZA - Monticano";"Vene-H Piave pedemontano";
241;"Piave a Belluno soglia";14/10/1992;28/10/2018;"IDRO";334;"BELLUNO (BL)";"BL";"LIDRO, LIDRO, LIDROMAX, LIDROMIN, PORT";1748622;5114040;46.13440127;12.21830301;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
